"adorer","to adore"
"aimer","to like, love"
"aimermieux","to prefer"
"allumer","to turn on"
"apporter","to bring"
"arriver","to arrive"
"bavarder","to chat"
"casser","to break"
"cesser","to cease"
"chanter","to sing"
"chercher","to look for"
"créer","to create"
"danser","to dance"
"déjeuner","to have lunch"
"demander","to ask"
"dépenser","to spend"
"dessiner","to draw"
"détester","to hate, detest"
"donner","to give"
"écouter","to listen to"
"emporter","to take with"
"emprunter","to borrow"
"étudier","to study"
"fonder","to found"
"frapper","to hit, knock"
"gagner","to win, earn"
"garder","to save, keep, guard"
"habiter","to live"
"jouver","to play"
"laisser","to leave, let"
"montrer","to show"
"oublier","to forget"
"parler","to speak"
"pousser","to push"
"présenter","to introduce"
"prêter","to lend"
"raconter","to tell"
"recontrer","to go back home"
"regarder","to watch, look at"
"retrouver","to find again"
"rester","to stay, remain"
"rouler","to roll, ride"
"saluer","to greet"
"sauvegarder","to save a computer file"
"sauver","to save"
"supporter","to tolerate, accept"
"supprimer","to cancel"
"téléphoner","to telephone"
"terminer","to finish"
"travailler","to work"
"traverser","to cross"
"trouver","to find"
"voler","to fly, steal"
"aménager","to develop"
"arranger","to arrange"
"changer","to change"
"corriger","to correct"
"décourager","to discourage"
"déménager","to move"
"déranger","to disturb"
"diriger","to direct"
"encourager","to encourage"
"engager","to engage"
"loger","to accomodate"
"manger","to eat"
"nager","to swim"
"partager","to share"
"plonger","to dive"
"ranger","to store"
"rédiger","to write"
"télécharger","to download"
"voyager","to travel"
"annoncer","to announce"
"avancer","to move forward, advance"
"commencer","to begin"
"divorcer","to divorce"
"effacer","to erase"
"lancer","to launch"
"menacer","to threaten"
"placer","to place"
"prononcer","to pronounce"
"renoncer","to renounce"
"replacer","to replace"
"appuyer","to support"
"balayer","to sweep"
"effrayer","to frighten"
"employer","to use"
"ennuyer","to wipe"
"envoyer","to send"
"essayer","to try"
"essuyer","to dry"
"nettoyer","to clean"
"noyer","to drown"
"payer","to pay"
"rayer","to strike"
"renvoyer","to return"
"tutoyer","to address as « tu »"
"vouvoyer","to address as « vous »"
"acheter","to buy"
"amener","to bring"
"emmener","to take"
"enlever","to remove"
"geler","to freeze"
"lever","to lift"
"mener","to carry"
"peser","to weigh"
"promener","to walk"
"appeler","to call"
"épeler","to spell"
"feuilleter","to browse"
"jeter","to throw"
"projeter","to project"
"rappeler","to remember"
"rejeter","to reject"
"renouveler","to renew"
"céder","to yield"
"célébrer","to celebrate"
"compléter","to complete"
"espérer","to hope"
"préférer","to prefer"
"protéger","to protect"
"refléter","to reflect"
"répéter","to repeat"
"révéler","to reveal"
"aller","to go"
"apprendre","to learn"
"avoir","to have"
"comprendre","to understand"
"devenir","to become"
"devoir","to have to"
"dire","to say"
"dormir","to sleep"
"être","to be"
"faire","to do, make"
"lire","to read"
"maintenir","to maintain"
"partir","to leave"
"pouvoir","to be able to"
"prendre","to take"
"retenir","to hold back"
"revenir","to return"
"savoir","to know (as in a fact)"
"sortir","to exit, go out"
"surprendre","to surprise"
"tenir","to keep, hold"
"venir","to come"
"vouloir","to want"
